flow_node1,flow_node2,pressure,status
100,98,1.2,normal
102,101,1.3,normal
98,97,1.1,normal
105,103,1.25,normal
99,98,1.2,normal
101,100,1.3,normal
97,96,1.15,normal
103,101,1.28,normal
100,99,1.22,normal
104,102,1.27,normal
96,95,1.1,normal
107,105,1.3,normal
101,99,1.24,normal
99,97,1.18,normal
102,100,1.26,normal
100,60,0.7,leak
95,50,0.6,leak
110,65,0.8,leak
102,55,0.75,leak
108,70,0.85,leak
99,58,0.65,leak
105,62,0.78,leak
101,59,0.72,leak
107,66,0.82,leak
103,57,0.69,leak
